Neural_Delay_tau,Predictive_Horizon_Tpred,Stable,Control_Effort,Total_Free_Energy
0.12631578947368421,0.29473684210526313,1,0.37178877105398467,0.005158846141797429
0.12631578947368421,0.3157894736842105,1,0.36059604653973903,0.005395272001620472
0.12631578947368421,0.3368421052631579,1,0.35089317948224874,0.005656694572663018
0.12631578947368421,0.35789473684210527,1,0.342437460771899,0.005943993918055048
0.12631578947368421,0.37894736842105264,1,0.3350343061984501,0.0062584617351240605
0.12631578947368421,0.4,1,0.32556589616010534,0.0067849115132664365
0.14736842105263157,0.0,1,1.1019330489024188,0.0063965669221767
0.14736842105263157,0.021052631578947368,1,0.6167664018425423,0.00470134522281212
0.14736842105263157,0.042105263157894736,1,0.5190037756084285,0.004246938876086538
0.14736842105263157,0.06315789473684211,1,0.5494697519598187,0.004140626904131929
0.14736842105263157,0.08421052631578947,1,0.5732083064001801,0.004152996583278666
0.14736842105263157,0.10526315789473684,1,0.5886313012988058,0.0042049398589022405
0.14736842105263157,0.12631578947368421,1,0.5962960716842566,0.004267654338985094
0.14736842105263157,0.14736842105263157,1,0.5969697330984169,0.004332873011029016
0.14736842105263157,0.16842105263157894,1,0.5439059697733183,0.004311584846343515
0.14736842105263157,0.18947368421052632,1,0.5022837669887625,0.004345529788956583
0.14736842105263157,0.21052631578947367,1,0.45475173269346836,0.004475006811083247
0.14736842105263157,0.23157894736842105,1,0.4301670875529752,0.004603771991822701
0.14736842105263157,0.25263157894736843,1,0.4097518750965004,0.004761772071302779
0.14736842105263157,0.2736842105263158,1,0.3926138621427728,0.004946712193233366
0.14736842105263157,0.29473684210526313,1,0.37809366400206923,0.0051573526643659716
0.14736842105263157,0.3157894736842105,1,0.36569389500648297,0.005393243491848725
0.14736842105263157,0.3368421052631579,1,0.3550324799400298,0.005654560431432976
0.14736842105263157,0.35789473684210527,1,0.34581114091018,0.005942004971973905
0.14736842105263157,0.37894736842105264,1,0.33779364772658077,0.00625674655018027
0.14736842105263157,0.4,1,0.3276200878598449,0.006783678834105225
0.16842105263157894,0.0,1,2.5309216411818714,0.013980195838470036
0.16842105263157894,0.021052631578947368,1,1.0183589734011893,0.0058496154341253735
0.16842105263157894,0.042105263157894736,1,0.5909908282463828,0.0045252250150520845
0.16842105263157894,0.06315789473684211,1,0.5251418347809619,0.004196513837661967
0.16842105263157894,0.08421052631578947,1,0.5518647863908511,0.004139649521824586
0.16842105263157894,0.10526315789473684,1,0.570160474384762,0.0041720872463306205
0.16842105263157894,0.12631578947368421,1,0.5805445136847919,0.004233494305604444
0.16842105263157894,0.14736842105263157,1,0.583748389810364,0.004303875819546941
0.16842105263157894,0.16842105263157894,1,0.580675429508624,0.00437914404570016
0.16842105263157894,0.18947368421052632,1,0.5297147871346303,0.004387461631705422
0.16842105263157894,0.21052631578947367,1,0.4729929015405155,0.004494999848612399
0.16842105263157894,0.23157894736842105,1,0.4443000492731495,0.004615535814361748
0.16842105263157894,0.25263157894736843,1,0.42081997355914336,0.0047683427973072776
0.16842105263157894,0.2736842105263158,1,0.4013592948762883,0.004950072563582851
0.16842105263157894,0.29473684210526313,1,0.3850558400023087,0.00515879766422704
0.16842105263157894,0.3157894736842105,1,0.37127221530869,0.005393610242387197
0.16842105263157894,0.3368421052631579,1,0.3595274277213861,0.005654378146821372
0.16842105263157894,0.35789473684210527,1,0.34945183562956994,0.005941595753582938
0.16842105263157894,0.37894736842105264,1,0.34075675106552616,0.006256294656239285
0.16842105263157894,0.4,1,0.32981495335282046,0.006783321877756652
0.18947368421052632,0.0,1,7.06802836969122,0.09937998648202932
0.18947368421052632,0.021052631578947368,1,2.271517620799042,0.011731010661671816
