time_days,EI,GJ,K_odd,Lambda1_real,Lambda1_imag,Lambda2_real,Lambda2_imag,cobb_rate,is_complex,cobb_angle
788.7887887887889,84.22422422422422,72.11211211211211,13.204658512573573,78.16816816816817,11.734018556299823,78.16816816816817,-11.734018556299823,1.1734018556299823,True,769.1036109086511
789.7897897897899,84.2042042042042,72.1021021021021,13.127295129818604,78.15315315315314,11.649491774448066,78.15315315315314,-11.649491774448066,1.1649491774448066,True,770.2685600860959
790.7907907907909,84.18418418418418,72.09209209209209,13.050257892796928,78.13813813813813,11.565230576067194,78.13813813813813,-11.565230576067194,1.1565230576067194,True,771.4250831437026
791.7917917917919,84.16416416416416,72.08208208208208,12.973551392406641,78.12312312312312,11.481239430996729,78.12312312312312,-11.481239430996729,1.1481239430996728,True,772.5732070868023
792.7927927927929,84.14414414414415,72.07207207207207,12.897180126444294,78.10810810810811,11.397522721434864,78.10810810810811,-11.397522721434864,1.1397522721434865,True,773.7129593589458
793.7937937937938,84.12412412412412,72.06206206206207,12.821148499594978,78.0930930930931,11.31408474209944,78.0930930930931,-11.31408474209944,1.1314084742099442,True,774.8443678331557
794.7947947947948,84.1041041041041,72.05205205205205,12.745460823445702,78.07807807807808,11.230929700414219,78.07807807807808,-11.230929700414219,1.1230929700414218,True,775.9674608031971
795.7957957957958,84.08408408408408,72.04204204204204,12.670121316521843,78.06306306306305,11.148061716720274,78.06306306306305,-11.148061716720274,1.1148061716720274,True,777.0822669748692
796.7967967967969,84.06406406406406,72.03203203203203,12.595134104346453,78.04804804804805,11.06548482451221,78.04804804804805,-11.06548482451221,1.106548482451221,True,778.1888154573204
797.7977977977979,84.04404404404404,72.02202202202201,12.520503219522201,78.03303303303304,10.983202970698946,78.03303303303304,-10.983202970698946,1.0983202970698946,True,779.2871357543903
798.7987987987989,84.02402402402402,72.01201201201201,12.44623260183559,78.01801801801801,10.901220015888814,78.01801801801801,-10.901220015888814,1.0901220015888815,True,780.3772577559791
799.7997997997999,84.004004004004,72.002002002002,12.372326098383397,78.003003003003,10.819539734698695,78.003003003003,-10.819539734698695,1.0819539734698695,True,781.4592117294491
800.8008008008009,83.98398398398399,71.991991991992,12.298787463720894,77.98798798798799,10.738165816086944,77.98798798798799,-10.738165816086944,1.0738165816086944,True,782.5330283110577
801.8018018018018,83.96396396396396,71.98198198198199,12.225620360031709,77.97297297297297,10.657101863709789,77.97297297297297,-10.657101863709789,1.065710186370979,True,783.5987384974287
802.8028028028028,83.94394394394394,71.97197197197197,12.152828357318983,77.95795795795794,10.576351396300891,77.95795795795794,-10.576351396300891,1.0576351396300891,True,784.6563736370588
803.8038038038039,83.92392392392392,71.96196196196196,12.080414933617629,77.94294294294295,10.49591784807387,77.94294294294295,-10.49591784807387,1.049591784807387,True,785.7059654218662
804.8048048048049,83.90390390390391,71.95195195195195,12.008383475227374,77.92792792792793,10.415804569147399,77.92792792792793,-10.415804569147399,1.04158045691474,True,786.7475458787809
805.8058058058059,83.88388388388388,71.94194194194193,11.936737276966255,77.9129129129129,10.336014825992546,77.9129129129129,-10.336014825992546,1.0336014825992546,True,787.7811473613801
