k_c,k_s,g_a,eval1_real,eval1_imag,eval2_real,eval2_imag
10.0,10.5,5.454545454545454,-10.25,-5.448813275907191,-10.25,5.448813275907191
10.0,10.5,5.555555555555555,-10.25,-5.549927705012399,-10.25,5.549927705012399
10.0,10.5,5.656565656565657,-10.25,-5.651038402544974,-10.25,5.651038402544974
10.0,10.5,5.757575757575758,-10.25,-5.752145565284667,-10.25,5.752145565284667
10.0,10.5,5.858585858585858,-10.25,-5.853249376408134,-10.25,5.853249376408134
10.0,10.5,5.959595959595959,-10.25,-5.95435000664493,-10.25,5.95435000664493
10.0,10.5,6.0606060606060606,-10.25,-6.055447615317544,-10.25,6.055447615317544
10.0,10.5,6.161616161616162,-10.25,-6.156542351278798,-10.25,6.156542351278798
10.0,10.5,6.262626262626262,-10.25,-6.257634353758309,-10.25,6.257634353758309
10.0,10.5,6.363636363636363,-10.25,-6.35872375312806,-10.25,6.35872375312806
10.0,10.5,6.4646464646464645,-10.25,-6.459810671596035,-10.25,6.459810671596035
10.0,10.5,6.565656565656566,-10.25,-6.560895223835629,-10.25,6.560895223835629
10.0,10.5,6.666666666666667,-10.25,-6.6619775175577125,-10.25,6.6619775175577125
10.0,10.5,6.767676767676767,-10.25,-6.763057654031338,-10.25,6.763057654031338
10.0,10.5,6.8686868686868685,-10.25,-6.8641357285583595,-10.25,6.8641357285583595
10.0,10.5,6.96969696969697,-10.25,-6.965211830906733,-10.25,6.965211830906733
10.0,10.5,7.070707070707071,-10.25,-7.066286045706541,-10.25,7.066286045706541
10.0,10.5,7.171717171717171,-10.25,-7.16735845281251,-10.25,7.16735845281251
10.0,10.5,7.2727272727272725,-10.25,-7.268429127636249,-10.25,7.268429127636249
10.0,10.5,7.373737373737374,-10.25,-7.369498141451109,-10.25,7.369498141451109
10.0,10.5,7.474747474747475,-10.25,-7.470565561672272,-10.25,7.470565561672272
10.0,10.5,7.575757575757575,-10.25,-7.571631452114418,-10.25,7.571631452114418
10.0,10.5,7.6767676767676765,-10.25,-7.672695873228977,-10.25,7.672695873228977
10.0,10.5,7.777777777777778,-10.25,-7.773758882322876,-10.25,7.773758882322876
10.0,10.5,7.878787878787879,-10.25,-7.874820533760423,-10.25,7.874820533760423
10.0,10.5,7.979797979797979,-10.25,-7.975880879149831,-10.25,7.975880879149831
10.0,10.5,8.080808080808081,-10.25,-8.076939967515742,-10.25,8.076939967515742
10.0,10.5,8.181818181818182,-10.25,-8.177997845458911,-10.25,8.177997845458911
10.0,10.5,8.282828282828282,-10.25,-8.27905455730424,-10.25,8.27905455730424
10.0,10.5,8.383838383838384,-10.25,-8.380110145238055,-10.25,8.380110145238055
10.0,10.5,8.484848484848484,-10.25,-8.48116464943557,-10.25,8.48116464943557
10.0,10.5,8.585858585858587,-10.25,-8.582218108179354,-10.25,8.582218108179354
10.0,10.5,8.686868686868687,-10.25,-8.683270557969486,-10.25,8.683270557969486
10.0,10.5,8.787878787878787,-10.25,-8.784322033626154,-10.25,8.784322033626154
10.0,10.5,8.88888888888889,-10.249999999999998,-8.885372568385208,-10.249999999999998,8.885372568385208
10.0,10.5,8.98989898989899,-10.25,-8.986422193987265,-10.25,8.986422193987265
10.0,10.5,9.09090909090909,-10.25,-9.087470940760886,-10.25,9.087470940760886
10.0,10.5,9.191919191919192,-10.25,-9.18851883770025,-10.25,9.18851883770025
10.0,10.5,9.292929292929292,-10.25,-9.289565912537748,-10.25,9.289565912537748
10.0,10.5,9.393939393939394,-10.25,-9.390612191811908,-10.25,9.390612191811908
10.0,10.5,9.494949494949495,-10.25,-9.491657700930942,-10.25,9.491657700930942
10.0,10.5,9.595959595959595,-10.25,-9.59270246423233,-10.25,9.59270246423233
10.0,10.5,9.696969696969697,-10.25,-9.693746505038625,-10.25,9.693746505038625
10.0,10.5,9.797979797979798,-10.25,-9.794789845709822,-10.25,9.794789845709822
10.0,10.5,9.8989898989899,-10.25,-9.89583250769252,-10.25,9.89583250769252
10.0,10.5,10.0,-10.25,-9.996874511566102,-10.25,9.996874511566102
10.0,10.1,0.0,-10.1,0.0,-10.0,0.0
10.0,10.1,0.10101010101010101,-10.05,-0.08776696705521314,-10.05,0.08776696705521314
10.0,10.1,0.20202020202020202,-10.05,-0.19573492796198397,-10.05,0.19573492796198397
10.0,10.1,0.30303030303030304,-10.05,-0.2988768384379052,-10.05,0.2988768384379052
10.0,10.1,0.40404040404040403,-10.05,-0.40093471799924385,-10.05,0.40093471799924385
10.0,10.1,0.5050505050505051,-10.05,-0.5025694107800134,-10.05,0.5025694107800134
10.0,10.1,0.6060606060606061,-10.05,-0.6039945845937276,-10.05,0.6039945845937276
10.0,10.1,0.7070707070707071,-10.05,-0.7053006343379191,-10.05,0.7053006343379191
10.0,10.1,0.8080808080808081,-10.05,-0.8065324496810601,-10.05,0.8065324496810601
10.0,10.1,0.9090909090909091,-10.05,-0.9077148676714157,-10.05,0.9077148676714157
