chi_kappa,L,P_counter,S_proprio,Deficit,Deficit_Ratio,Is_Deficit
0.04,0.4461538461538462,0.09584749264827923,0.1040580988318821,-0.008210606183602878,0.921095942787999,False
0.04,0.4564102564102564,0.10030492657775394,0.1052473728611434,-0.004942446283389454,0.9530397182463624,False
0.04,0.4666666666666667,0.1048636658238077,0.10642335766099163,-0.0015596918371839352,0.985344459416961,False
0.04,0.47692307692307695,0.10952371038644038,0.1075864890100339,0.0019372213764064783,1.01800617711603,True
0.04,0.48717948717948717,0.11428506026565201,0.10873717937841197,0.0055478808872400365,1.051021011570781,True
0.04,0.49743589743589745,0.11914771546144264,0.10987581963671417,0.009271895824728468,1.0843852255699609,True
0.04,0.5076923076923077,0.12411167597381222,0.11100278060709351,0.013108895366718706,1.1180951981114695,True
0.04,0.5179487179487179,0.1291769418027608,0.1121184144740432,0.0170585273287176,1.1521474185015956,True
0.04,0.5282051282051282,0.13434351294828834,0.11322305607004315,0.02112045687824518,1.1865384808654118,True
0.04,0.5384615384615385,0.13961138941039483,0.1143170240493818,0.025294365361013038,1.221265079032206,True
0.04,0.5487179487179488,0.1449805711890803,0.11540062196181498,0.029579949227265326,1.2563240017636392,True
0.04,0.558974358974359,0.1504510582843448,0.11647413923631518,0.033976919048029616,1.291712128295652,True
0.04,0.5692307692307692,0.15602285069618815,0.11753785208394499,0.038484998612243165,1.3274264241680829,True
0.04,0.5794871794871794,0.16169594842461055,0.11859202432783635,0.0431039240967742,1.3634639373185629,True
0.04,0.5897435897435898,0.16747035146961192,0.11963690816734161,0.04783344330227031,1.399821794419524,True
0.04,0.6,0.17334605983119217,0.12067274488262761,0.05267331494856456,1.4364971974392169,True
0.05,0.2,0.030094802054026457,0.06967044174183609,-0.03957563968780964,0.4319593977248312,False
0.05,0.21025641025641026,0.03326059319711929,0.0714345295649756,-0.03817393636785631,0.46560946645369916,False
0.05,0.22051282051282053,0.0365846738973668,0.07315609049037662,-0.036571416593009824,0.5000906097104705,False
0.05,0.23076923076923078,0.04006704415476894,0.0748380594183399,-0.034771015263570966,0.5353832590820768,False
0.05,0.24102564102564103,0.0437077039693257,0.07648304844323199,-0.032775344473906294,0.5714691668150083,False
0.05,0.2512820512820513,0.047506653341037125,0.07809339447633563,-0.03058674113529851,0.6083312636055652,False
0.05,0.26153846153846155,0.051463892269903194,0.07967119819924494,-0.028207305929341744,0.6459535369507086,False
0.05,0.27179487179487183,0.05557942075592393,0.08121835620209368,-0.02563893544616975,0.6843209263879584,False
0.05,0.28205128205128205,0.05985323879909928,0.08273658770965217,-0.022883348910552888,0.7234192327237677,False
0.05,0.2923076923076923,0.06428534639942925,0.08422745696923163,-0.019942110569802385,0.763235038936445,False
0.05,0.3025641025641026,0.06887574355691391,0.08569239213121876,-0.016816648574304857,0.8037556408910383,False
0.05,0.3128205128205128,0.07362443027155313,0.08713270127132157,-0.013508270999768437,0.8449689863544436,False
0.05,0.3230769230769231,0.07853140654334713,0.08854958606624969,-0.010018179522902557,0.8868636210743288,False
0.05,0.33333333333333337,0.08359667237229565,0.08994415352968174,-0.006347481157386092,0.9294286409033644,False
0.05,0.3435897435897436,0.08882022775839885,0.09131742613454322,-0.0024971983761443717,0.9726536491242634,False
0.05,0.35384615384615387,0.09420207270165674,0.09267035058477203,0.0015317221168847095,1.0165287182709375,True
0.05,0.36410256410256414,0.09974220720206926,0.09400380545047822,0.0057384017515910435,1.0610443558544453,True
0.05,0.37435897435897436,0.10544063125963635,0.09531860784148158,0.010122023418154769,1.1061914734947458,True
0.05,0.38461538461538464,0.11129734487435809,0.09661551926323718,0.014681825611120913,1.1519613590350741,True
0.05,0.3948717948717949,0.11731234804623451,0.09789525077434427,0.01941709727189024,1.1983456512783044,True
0.05,0.40512820512820513,0.12348564077526558,0.09915846754482721,0.02432717323043837,1.245336317036572,True
0.05,0.4153846153846154,0.1298172230614513,0.10040579289814582,0.029411430163305483,1.2929256302287377,True
0.05,0.4256410256410257,0.13630709490479165,0.10163781190665289,0.03466928299813876,1.34110615279656,True
0.05,0.4358974358974359,0.14295525630528663,0.1028550745993553,0.040100181705931326,1.38987071724104,True
0.05,0.4461538461538462,0.1497617072629363,0.1040580988318821,0.0457036084310542,1.4392124106062485,True
0.05,0.4564102564102564,0.15672644777774053,0.1052473728611434,0.05147907491659713,1.489124559759941,True
0.05,0.4666666666666667,0.16384947784969953,0.10642335766099163,0.057426120188707894,1.5396007178390017,True
0.05,0.47692307692307695,0.1711307974788131,0.1075864890100339,0.0635443084687792,1.5906346517437968,True
0.05,0.48717948717948717,0.1785704066650813,0.10873717937841197,0.06983322728666934,1.6422203305793457,True
0.05,0.49743589743589745,0.18616830540850415,0.10987581963671417,0.07629248577178999,1.6943519149530644,True
0.05,0.5076923076923077,0.19392449370908157,0.11100278060709351,0.08292171310198806,1.7470237470491712,True
0.05,0.5179487179487179,0.20183897156681377,0.1121184144740432,0.08972055709277058,1.8002303414087433,True
0.05,0.5282051282051282,0.20991173898170057,0.11322305607004315,0.09668868291165741,1.853966376352206,True
