chi_kappa,L,P_cost,S_supply,R_deficit,In_Deficit
0.04,0.31052631578947365,0.12037920821610572,0.1729787541762347,0.6959190380886928,False
0.04,0.3368421052631579,0.12037920821610572,0.18311433265185337,0.6573991586173488,False
0.04,0.3631578947368421,0.12037920821610569,0.19301484850613185,0.6236784845715193,False
0.04,0.3894736842105263,0.1203792082161057,0.2027022458833076,0.5938720989081002,False
0.04,0.4157894736842105,0.12037920821610573,0.2121950851949784,0.567304412849589,False
0.04,0.44210526315789467,0.12037920821610573,0.22150924509292919,0.543450040496519,False
0.04,0.46842105263157896,0.12037920821610576,0.230658445819788,0.5218937801660091,False
0.04,0.49473684210526314,0.12037920821610575,0.23965464685273533,0.502302833669139,False
0.04,0.5210526315789473,0.12037920821610575,0.24850835410157143,0.48440708824985346,False
0.04,0.5473684210526315,0.12037920821610576,0.2572288607522977,0.4679848437847986,False
0.04,0.5736842105263158,0.12037920821610572,0.2658244385823452,0.45285229927727466,False
0.04,0.6,0.12037920821610568,0.27430249173193366,0.4388556861297057,False
0.05,0.1,0.18809251283766534,0.078257122951284,2.403519395349548,True
0.05,0.12631578947368421,0.1880925128376652,0.0921603734596511,2.0409261136513765,True
0.05,0.15263157894736842,0.1880925128376653,0.10521434485899063,1.7877078747175477,True
0.05,0.17894736842105263,0.18809251283766523,0.11760657399541748,1.5993367245354349,True
0.05,0.20526315789473684,0.18809251283766532,0.12946178230954772,1.452880606787333,True
0.05,0.23157894736842105,0.1880925128376653,0.14086828596948178,1.3352367535615102,True
0.05,0.2578947368421053,0.1880925128376653,0.15189154959270423,1.2383342808868143,True
0.05,0.28421052631578947,0.18809251283766518,0.162581822900903,1.1569098530301967,True
0.05,0.31052631578947365,0.1880925128376652,0.1729787541762347,1.0873734970135827,True
0.05,0.3368421052631579,0.1880925128376652,0.18311433265185337,1.0271861853396076,True
0.05,0.3631578947368421,0.1880925128376652,0.19301484850613185,0.9744976321429992,False
0.05,0.3894736842105263,0.18809251283766518,0.2027022458833076,0.9279251545439067,False
0.05,0.4157894736842105,0.1880925128376652,0.2121950851949784,0.8864131450774828,False
0.05,0.44210526315789467,0.1880925128376653,0.22150924509292919,0.8491406882758114,False
0.05,0.46842105263157896,0.1880925128376652,0.230658445819788,0.815459031509389,False
0.05,0.49473684210526314,0.18809251283766523,0.23965464685273533,0.7848481776080296,False
0.05,0.5210526315789473,0.1880925128376653,0.24850835410157143,0.7568860753903963,False
0.05,0.5473684210526315,0.1880925128376652,0.2572288607522977,0.7312263184137476,False
0.05,0.5736842105263158,0.18809251283766523,0.2658244385823452,0.7075817176207418,False
0.05,0.6,0.18809251283766512,0.27430249173193366,0.6857120095776652,False
0.060000000000000005,0.1,0.2708532184862381,0.078257122951284,3.4610679293033493,True
0.060000000000000005,0.12631578947368421,0.27085321848623795,0.0921603734596511,2.938933603657983,True
0.060000000000000005,0.15263157894736842,0.270853218486238,0.10521434485899063,2.5742993395932685,True
0.060000000000000005,0.17894736842105263,0.2708532184862379,0.11760657399541748,2.303044883331026,True
0.060000000000000005,0.20526315789473684,0.2708532184862381,0.12946178230954772,2.0921480737737603,True
0.060000000000000005,0.23157894736842105,0.27085321848623806,0.14086828596948178,1.922740925128575,True
0.060000000000000005,0.2578947368421053,0.270853218486238,0.15189154959270423,1.7832013644770124,True
0.060000000000000005,0.28421052631578947,0.27085321848623795,0.162581822900903,1.665950188363484,True
0.060000000000000005,0.31052631578947365,0.27085321848623795,0.1729787541762347,1.5658178356995593,True
0.060000000000000005,0.3368421052631579,0.2708532184862379,0.18311433265185337,1.4791481068890349,True
